Type of Vehicle,Vehicle Number,Vehicle Entering Time,Departure Time,Date,Vehicle Owner Name
Four Wheeler,TN68OC5687,05:24:00,08:13:00,15-10-2025,Siddharth Nair
Four Wheeler,KL52QK1558,07:50:00,07:07:00,15-10-2025,Vivaan Kumar
Two Wheeler,DL68QE5176,08:55:00,09:10:00,15-10-2025,Rakesh Rao
Four Wheeler,TN76BX1760,20:24:00,20:37:00,15-10-2025,Vivaan Kumar
Two Wheeler,KA75WA7413,11:55:00,13:40:00,15-10-2025,Aisha Khan
Two Wheeler,DL43YF5478,12:02:00,18:53:00,15-10-2025,Priya Patel
Four Wheeler,DL69ET9431,12:59:00,14:09:00,15-10-2025,Krishna Rao
Four Wheeler,KL48RX4591,04:31:00,08:48:00,15-10-2025,Ananya Singh
Two Wheeler,KL22UK2493,17:47:00,17:33:00,15-10-2025,Bhavya Patel
Two Wheeler,WB53JD2202,12:49:00,12:52:00,15-10-2025,Aditya Patel
Four Wheeler,KA48IL3023,00:05:00,03:48:00,15-10-2025,Siddharth Nair
Two Wheeler,UP16AF5988,05:23:00,09:22:00,15-10-2025,Divya Iyer
Four Wheeler,DL46YA5220,16:27:00,17:20:00,15-10-2025,Pranav Sethi
Two Wheeler,TN14LP9894,10:39:00,11:03:00,15-10-2025,Tanvi Singh
Four Wheeler,TN72NW0526,16:23:00,22:09:00,15-10-2025,Pranav Sethi
Four Wheeler,WB85GF5964,11:53:00,15:15:00,15-10-2025,Sana Kapoor
Two Wheeler,GJ67HH2563,03:18:00,03:21:00,15-10-2025,Rakesh Rao
Two Wheeler,UP91OE7060,01:23:00,07:26:00,15-10-2025,Aditya Patel
Four Wheeler,UP01ZK1020,16:33:00,17:03:00,15-10-2025,Arjun Gupta
Four Wheeler,AP98SR1912,00:35:00,04:03:00,15-10-2025,Pooja Mehta
Two Wheeler,RJ09NI2377,10:39:00,10:20:00,15-10-2025,Deepa Joshi
Two Wheeler,WB02KG0089,04:10:00,04:08:00,15-10-2025,Nikhil Bhatia
Two Wheeler,RJ26GR3302,04:46:00,08:36:00,15-10-2025,Sachin Yadav
Two Wheeler,KA81ZM5208,09:12:00,09:24:00,15-10-2025,Kriti Verma
Two Wheeler,RJ88HO9353,00:43:00,00:28:00,15-10-2025,Nikhil Bhatia
Four Wheeler,KA74KC0533,06:36:00,07:43:00,15-10-2025,Kriti Verma
Two Wheeler,AP02JT2601,02:24:00,05:12:00,15-10-2025,Neha Sharma
Four Wheeler,KL82DJ5800,03:00:00,03:17:00,15-10-2025,Yash Verma
Four Wheeler,MH75EL3927,19:57:00,21:03:00,15-10-2025,Karan Kapoor
Two Wheeler,WB64CM5740,08:18:00,13:22:00,15-10-2025,Rahul Desai
Four Wheeler,KA96VY9551,08:14:00,11:49:00,15-10-2025,Simran Kaur
Two Wheeler,DL71XQ9899,16:52:00,16:14:00,15-10-2025,Divya Iyer
Four Wheeler,KA62BT2063,14:16:00,18:22:00,15-10-2025,Rakesh Rao
Two Wheeler,MH07NQ4492,20:05:00,20:50:00,15-10-2025,Meera Nair
Two Wheeler,MH94TK0548,04:46:00,05:07:00,15-10-2025,Shreya Desai
Four Wheeler,AP55KB3712,11:33:00,11:45:00,15-10-2025,Rohan Singh
Four Wheeler,AP57RM6633,02:55:00,02:47:00,15-10-2025,Arjun Gupta
Two Wheeler,AP76ZL2910,09:07:00,11:55:00,15-10-2025,Mira Bhatia
Four Wheeler,DL13LF4357,15:50:00,15:55:00,15-10-2025,Rohan Singh
Two Wheeler,DL62BX2112,08:56:00,09:45:00,15-10-2025,Rupali Sharma
Two Wheeler,GJ95YR5471,08:42:00,14:06:00,15-10-2025,Vikram Chatterjee
Two Wheeler,WB21OK0580,02:33:00,03:55:00,15-10-2025,Bhavya Patel
Two Wheeler,AP22CX7644,03:35:00,04:49:00,15-10-2025,Deepa Joshi
Four Wheeler,AP98BD6417,09:16:00,09:43:00,15-10-2025,Deepa Joshi
Two Wheeler,UP17FF7632,20:39:00,20:54:00,15-10-2025,Tanvi Singh
Two Wheeler,UP40SA0407,16:12:00,16:48:00,15-10-2025,Aisha Khan
Four Wheeler,KL79MX0802,10:19:00,11:13:00,15-10-2025,Karan Kapoor
Four Wheeler,UP82UM9555,23:08:00,23:18:00,15-10-2025,Priya Patel
Two Wheeler,GJ17YQ9120,15:39:00,15:26:00,15-10-2025,Nikhil Bhatia
Two Wheeler,UP03PP9071,18:21:00,19:12:00,15-10-2025,Mira Bhatia
Two Wheeler,MH73PP4858,05:00:00,05:35:00,15-10-2025,Aarav Sharma
Four Wheeler,KL50DO4457,03:20:00,06:33:00,15-10-2025,Sana Kapoor
Two Wheeler,AP55NE6874,15:32:00,15:48:00,15-10-2025,Divya Iyer
Two Wheeler,UP98HG1881,16:10:00,19:11:00,15-10-2025,Ankit Joshi
Two Wheeler,TN18ZC4862,05:58:00,08:31:00,15-10-2025,Vivaan Kumar
Two Wheeler,RJ58LC9782,15:11:00,18:45:00,15-10-2025,Aditya Patel
Two Wheeler,RJ40BY9157,02:35:00,02:28:00,15-10-2025,Manish Iyer
Two Wheeler,KA28XW2380,16:39:00,16:27:00,15-10-2025,Kriti Verma
Two Wheeler,AP44YR1911,12:36:00,12:05:00,15-10-2025,Aditya Patel
Two Wheeler,GJ60VG3708,20:00:00,22:21:00,15-10-2025,Bhavya Patel
Four Wheeler,MH39FE4229,14:39:00,15:46:00,15-10-2025,Ishita Rao
