Vehicle Number,Vehicle Entering Time,Departure Time,Date,Vehicle Owner Name,Duration,Type of Vehicle_Two Wheeler,Entry_Hour,Entry_Date,DayOfWeek,Is_Weekend,Hour_Bin,Entry_Hour_Sq,Avg_Duration_Per_Hour,Owner_Entry_Count
TN68OC5687,2025-10-27 05:24:00,2025-10-27 08:13:00,10/15/2025,Siddharth Nair,169,False,5,2025-10-27,0,0,0,25,85.6884480746791,528
KL52QK1558,2025-10-27 07:50:00,2025-10-27 07:07:00,10/15/2025,Vivaan Kumar,-43,False,7,2025-10-27,0,0,1,49,90.0012195121951,498
DL68QE5176,2025-10-27 08:55:00,2025-10-27 09:10:00,10/15/2025,Rakesh Rao,15,True,8,2025-10-27,0,0,1,64,87.4739393939394,500
TN76BX1760,2025-10-27 20:24:00,2025-10-27 20:37:00,10/15/2025,Vivaan Kumar,13,False,20,2025-10-27,0,0,5,400,64.1733333333333,498
KA75WA7413,2025-10-27 11:55:00,2025-10-27 13:40:00,10/15/2025,Aisha Khan,105,True,11,2025-10-27,0,0,2,121,91.6714285714286,512
DL43YF5478,2025-10-27 12:02:00,2025-10-27 18:53:00,10/15/2025,Priya Patel,411,True,12,2025-10-27,0,0,3,144,88.5630461922597,496
DL69ET9431,2025-10-27 12:59:00,2025-10-27 14:09:00,10/15/2025,Krishna Rao,70,False,12,2025-10-27,0,0,3,144,88.5630461922597,539
KL48RX4591,2025-10-27 04:31:00,2025-10-27 08:48:00,10/15/2025,Ananya Singh,257,False,4,2025-10-27,0,0,0,16,87.0590277777778,450
KL22UK2493,2025-10-27 17:47:00,2025-10-27 17:33:00,10/15/2025,Bhavya Patel,-14,True,17,2025-10-27,0,0,4,289,93.6626650660264,517
WB53JD2202,2025-10-27 12:49:00,2025-10-27 12:52:00,10/15/2025,Aditya Patel,3,True,12,2025-10-27,0,0,3,144,88.5630461922597,502
KA48IL3023,2025-10-27 00:05:00,2025-10-27 03:48:00,10/15/2025,Siddharth Nair,223,False,0,2025-10-27,0,0,0,0,100.017878426698,528
UP16AF5988,2025-10-27 05:23:00,2025-10-27 09:22:00,10/15/2025,Divya Iyer,239,True,5,2025-10-27,0,0,0,25,85.6884480746791,501
DL46YA5220,2025-10-27 16:27:00,2025-10-27 17:20:00,10/15/2025,Pranav Sethi,53,False,16,2025-10-27,0,0,3,256,86.6213942307692,508
TN14LP9894,2025-10-27 10:39:00,2025-10-27 11:03:00,10/15/2025,Tanvi Singh,24,True,10,2025-10-27,0,0,2,100,85.2860520094563,481
TN72NW0526,2025-10-27 16:23:00,2025-10-27 22:09:00,10/15/2025,Pranav Sethi,346,False,16,2025-10-27,0,0,3,256,86.6213942307692,508
WB85GF5964,2025-10-27 11:53:00,2025-10-27 15:15:00,10/15/2025,Sana Kapoor,202,False,11,2025-10-27,0,0,2,121,91.6714285714286,515
GJ67HH2563,2025-10-27 03:18:00,2025-10-27 03:21:00,10/15/2025,Rakesh Rao,3,True,3,2025-10-27,0,0,0,9,92.5401730531521,500
UP91OE7060,2025-10-27 01:23:00,2025-10-27 07:26:00,10/15/2025,Aditya Patel,363,True,1,2025-10-27,0,0,0,1,88.9599514563107,502
UP01ZK1020,2025-10-27 16:33:00,2025-10-27 17:03:00,10/15/2025,Arjun Gupta,30,False,16,2025-10-27,0,0,3,256,86.6213942307692,496
AP98SR1912,2025-10-27 00:35:00,2025-10-27 04:03:00,10/15/2025,Pooja Mehta,208,False,0,2025-10-27,0,0,0,0,100.017878426698,512
RJ09NI2377,2025-10-27 10:39:00,2025-10-27 10:20:00,10/15/2025,Deepa Joshi,-19,True,10,2025-10-27,0,0,2,100,85.2860520094563,505
WB02KG0089,2025-10-27 04:10:00,2025-10-27 04:08:00,10/15/2025,Nikhil Bhatia,-2,True,4,2025-10-27,0,0,0,16,87.0590277777778,467
RJ26GR3302,2025-10-27 04:46:00,2025-10-27 08:36:00,10/15/2025,Sachin Yadav,230,True,4,2025-10-27,0,0,0,16,87.0590277777778,509
KA81ZM5208,2025-10-27 09:12:00,2025-10-27 09:24:00,10/15/2025,Kriti Verma,12,True,9,2025-10-27,0,0,2,81,89.4622425629291,471
RJ88HO9353,2025-10-27 00:43:00,2025-10-27 00:28:00,10/15/2025,Nikhil Bhatia,-15,True,0,2025-10-27,0,0,0,0,100.017878426698,467
KA74KC0533,2025-10-27 06:36:00,2025-10-27 07:43:00,10/15/2025,Kriti Verma,67,False,6,2025-10-27,0,0,1,36,93.5439739413681,471
AP02JT2601,2025-10-27 02:24:00,2025-10-27 05:12:00,10/15/2025,Neha Sharma,168,True,2,2025-10-27,0,0,0,4,90.0264367816092,536
KL82DJ5800,2025-10-27 03:00:00,2025-10-27 03:17:00,10/15/2025,Yash Verma,17,False,3,2025-10-27,0,0,0,9,92.5401730531521,496
MH75EL3927,2025-10-27 19:57:00,2025-10-27 21:03:00,10/15/2025,Karan Kapoor,66,False,19,2025-10-27,0,0,4,361,79.3558926487748,523
WB64CM5740,2025-10-27 08:18:00,2025-10-27 13:22:00,10/15/2025,Rahul Desai,304,True,8,2025-10-27,0,0,1,64,87.4739393939394,507
KA96VY9551,2025-10-27 08:14:00,2025-10-27 11:49:00,10/15/2025,Simran Kaur,215,False,8,2025-10-27,0,0,1,64,87.4739393939394,496
DL71XQ9899,2025-10-27 16:52:00,2025-10-27 16:14:00,10/15/2025,Divya Iyer,-38,True,16,2025-10-27,0,0,3,256,86.6213942307692,501
KA62BT2063,2025-10-27 14:16:00,2025-10-27 18:22:00,10/15/2025,Rakesh Rao,246,False,14,2025-10-27,0,0,3,196,92.063371356147,500
MH07NQ4492,2025-10-27 20:05:00,2025-10-27 20:50:00,10/15/2025,Meera Nair,45,True,20,2025-10-27,0,0,5,400,64.1733333333333,550
MH94TK0548,2025-10-27 04:46:00,2025-10-27 05:07:00,10/15/2025,Shreya Desai,21,True,4,2025-10-27,0,0,0,16,87.0590277777778,501
AP55KB3712,2025-10-27 11:33:00,2025-10-27 11:45:00,10/15/2025,Rohan Singh,12,False,11,2025-10-27,0,0,2,121,91.6714285714286,468
AP57RM6633,2025-10-27 02:55:00,2025-10-27 02:47:00,10/15/2025,Arjun Gupta,-8,False,2,2025-10-27,0,0,0,4,90.0264367816092,496
AP76ZL2910,2025-10-27 09:07:00,2025-10-27 11:55:00,10/15/2025,Mira Bhatia,168,True,9,2025-10-27,0,0,2,81,89.4622425629291,531
DL13LF4357,2025-10-27 15:50:00,2025-10-27 15:55:00,10/15/2025,Rohan Singh,5,False,15,2025-10-27,0,0,3,225,93.481302774427,468
DL62BX2112,2025-10-27 08:56:00,2025-10-27 09:45:00,10/15/2025,Rupali Sharma,49,True,8,2025-10-27,0,0,1,64,87.4739393939394,480
GJ95YR5471,2025-10-27 08:42:00,2025-10-27 14:06:00,10/15/2025,Vikram Chatterjee,324,True,8,2025-10-27,0,0,1,64,87.4739393939394,508
WB21OK0580,2025-10-27 02:33:00,2025-10-27 03:55:00,10/15/2025,Bhavya Patel,82,True,2,2025-10-27,0,0,0,4,90.0264367816092,517
AP22CX7644,2025-10-27 03:35:00,2025-10-27 04:49:00,10/15/2025,Deepa Joshi,74,True,3,2025-10-27,0,0,0,9,92.5401730531521,505
AP98BD6417,2025-10-27 09:16:00,2025-10-27 09:43:00,10/15/2025,Deepa Joshi,27,False,9,2025-10-27,0,0,2,81,89.4622425629291,505
UP17FF7632,2025-10-27 20:39:00,2025-10-27 20:54:00,10/15/2025,Tanvi Singh,15,True,20,2025-10-27,0,0,5,400,64.1733333333333,481
UP40SA0407,2025-10-27 16:12:00,2025-10-27 16:48:00,10/15/2025,Aisha Khan,36,True,16,2025-10-27,0,0,3,256,86.6213942307692,512
KL79MX0802,2025-10-27 10:19:00,2025-10-27 11:13:00,10/15/2025,Karan Kapoor,54,False,10,2025-10-27,0,0,2,100,85.2860520094563,523
UP82UM9555,2025-10-27 23:08:00,2025-10-27 23:18:00,10/15/2025,Priya Patel,10,False,23,2025-10-27,0,0,5,529,-1.83602771362587,496
GJ17YQ9120,2025-10-27 15:39:00,2025-10-27 15:26:00,10/15/2025,Nikhil Bhatia,-13,True,15,2025-10-27,0,0,3,225,93.481302774427,467
UP03PP9071,2025-10-27 18:21:00,2025-10-27 19:12:00,10/15/2025,Mira Bhatia,51,True,18,2025-10-27,0,0,4,324,86.5085784313726,531
MH73PP4858,2025-10-27 05:00:00,2025-10-27 05:35:00,10/15/2025,Aarav Sharma,35,True,5,2025-10-27,0,0,0,25,85.6884480746791,470
KL50DO4457,2025-10-27 03:20:00,2025-10-27 06:33:00,10/15/2025,Sana Kapoor,193,False,3,2025-10-27,0,0,0,9,92.5401730531521,515
AP55NE6874,2025-10-27 15:32:00,2025-10-27 15:48:00,10/15/2025,Divya Iyer,16,True,15,2025-10-27,0,0,3,225,93.481302774427,501
UP98HG1881,2025-10-27 16:10:00,2025-10-27 19:11:00,10/15/2025,Ankit Joshi,181,True,16,2025-10-27,0,0,3,256,86.6213942307692,546
TN18ZC4862,2025-10-27 05:58:00,2025-10-27 08:31:00,10/15/2025,Vivaan Kumar,153,True,5,2025-10-27,0,0,0,25,85.6884480746791,498
RJ58LC9782,2025-10-27 15:11:00,2025-10-27 18:45:00,10/15/2025,Aditya Patel,214,True,15,2025-10-27,0,0,3,225,93.481302774427,502
RJ40BY9157,2025-10-27 02:35:00,2025-10-27 02:28:00,10/15/2025,Manish Iyer,-7,True,2,2025-10-27,0,0,0,4,90.0264367816092,513
KA28XW2380,2025-10-27 16:39:00,2025-10-27 16:27:00,10/15/2025,Kriti Verma,-12,True,16,2025-10-27,0,0,3,256,86.6213942307692,471
AP44YR1911,2025-10-27 12:36:00,2025-10-27 12:05:00,10/15/2025,Aditya Patel,-31,True,12,2025-10-27,0,0,3,144,88.5630461922597,502
GJ60VG3708,2025-10-27 20:00:00,2025-10-27 22:21:00,10/15/2025,Bhavya Patel,141,True,20,2025-10-27,0,0,5,400,64.1733333333333,517
MH39FE4229,2025-10-27 14:39:00,2025-10-27 15:46:00,10/15/2025,Ishita Rao,67,False,14,2025-10-27,0,0,3,196,92.063371356147,531
WB62HX7419,2025-10-27 04:54:00,2025-10-27 04:41:00,10/15/2025,Ritika Nair,-13,False,4,2025-10-27,0,0,0,16,87.0590277777778,514
WB08RD4438,2025-10-27 17:30:00,2025-10-27 20:05:00,10/15/2025,Aarav Sharma,155,True,17,2025-10-27,0,0,4,289,93.6626650660264,470
KL04DF9518,2025-10-27 02:20:00,2025-10-27 06:37:00,10/15/2025,Divya Iyer,257,False,2,2025-10-27,0,0,0,4,90.0264367816092,501
UP57HU8781,2025-10-27 11:23:00,2025-10-27 16:16:00,10/15/2025,Ishita Rao,293,True,11,2025-10-27,0,0,2,121,91.6714285714286,531
WB11FR9734,2025-10-27 05:50:00,2025-10-27 05:33:00,10/15/2025,Yash Verma,-17,True,5,2025-10-27,0,0,0,25,85.6884480746791,496
AP91UL4623,2025-10-27 07:37:00,2025-10-27 08:10:00,10/15/2025,Divya Iyer,33,True,7,2025-10-27,0,0,1,49,90.0012195121951,501
AP27SE2225,2025-10-27 07:48:00,2025-10-27 07:38:00,10/15/2025,Deepa Joshi,-10,False,7,2025-10-27,0,0,1,49,90.0012195121951,505
AP22YM4241,2025-10-27 14:25:00,2025-10-27 14:57:00,10/15/2025,Kavya Kulkarni,32,False,14,2025-10-27,0,0,3,196,92.063371356147,511
AP69MM9307,2025-10-27 00:27:00,2025-10-27 00:27:00,10/15/2025,Kriti Verma,0,True,0,2025-10-27,0,0,0,0,100.017878426698,471
DL42QU4457,2025-10-27 20:24:00,2025-10-27 20:33:00,10/15/2025,Shreya Desai,9,False,20,2025-10-27,0,0,5,400,64.1733333333333,501
GJ32VQ8751,2025-10-27 21:11:00,2025-10-27 22:32:00,10/15/2025,Kavya Kulkarni,81,False,21,2025-10-27,0,0,5,441,48.3002450980392,511
KA86CI5029,2025-10-27 23:56:00,2025-10-27 23:24:00,10/15/2025,Priya Patel,-32,True,23,2025-10-27,0,0,5,529,-1.83602771362587,496
AP18SB1216,2025-10-27 11:41:00,2025-10-27 11:52:00,10/15/2025,Sameer Kulkarni,11,False,11,2025-10-27,0,0,2,121,91.6714285714286,482
TN07NW6248,2025-10-27 23:26:00,2025-10-27 23:23:00,10/15/2025,Vikram Chatterjee,-3,False,23,2025-10-27,0,0,5,529,-1.83602771362587,508
TN44OK2987,2025-10-27 14:27:00,2025-10-27 15:22:00,10/15/2025,Arjun Gupta,55,True,14,2025-10-27,0,0,3,196,92.063371356147,496
TN62HW8926,2025-10-27 10:35:00,2025-10-27 14:16:00,10/15/2025,Bhavya Patel,221,True,10,2025-10-27,0,0,2,100,85.2860520094563,517
KL84JC0888,2025-10-27 13:50:00,2025-10-27 15:23:00,10/15/2025,Yash Verma,93,True,13,2025-10-27,0,0,3,169,92.6036866359447,496
KL17CI1611,2025-10-27 06:41:00,2025-10-27 06:09:00,10/15/2025,Sana Kapoor,-32,False,6,2025-10-27,0,0,1,36,93.5439739413681,515
UP40NO7222,2025-10-27 08:51:00,2025-10-27 12:21:00,10/15/2025,Aisha Khan,210,True,8,2025-10-27,0,0,1,64,87.4739393939394,512
KL24OG6198,2025-10-27 09:17:00,2025-10-27 09:15:00,10/15/2025,Divya Iyer,-2,True,9,2025-10-27,0,0,2,81,89.4622425629291,501
WB32JM0752,2025-10-27 04:37:00,2025-10-27 04:59:00,10/15/2025,Sneha Reddy,22,False,4,2025-10-27,0,0,0,16,87.0590277777778,516
WB48MS0724,2025-10-27 07:44:00,2025-10-27 07:24:00,10/15/2025,Rupali Sharma,-20,False,7,2025-10-27,0,0,1,49,90.0012195121951,480
AP94UF9509,2025-10-27 05:19:00,2025-10-27 10:49:00,10/15/2025,Ananya Singh,330,False,5,2025-10-27,0,0,0,25,85.6884480746791,450
WB67EY6398,2025-10-27 14:56:00,2025-10-27 18:52:00,10/15/2025,Deepa Joshi,236,True,14,2025-10-27,0,0,3,196,92.063371356147,505
RJ30BW1782,2025-10-27 10:14:00,2025-10-27 13:04:00,10/15/2025,Vikram Chatterjee,170,True,10,2025-10-27,0,0,2,100,85.2860520094563,508
WB05QS1478,2025-10-27 14:37:00,2025-10-27 18:15:00,10/15/2025,Rohan Singh,218,True,14,2025-10-27,0,0,3,196,92.063371356147,468
KA30TY5981,2025-10-27 11:50:00,2025-10-27 11:52:00,10/15/2025,Aarav Sharma,2,False,11,2025-10-27,0,0,2,121,91.6714285714286,470
TN92RI4477,2025-10-27 22:22:00,2025-10-27 23:47:00,10/15/2025,Pranav Sethi,85,True,22,2025-10-27,0,0,5,484,27.9203640500569,508
UP99NH6083,2025-10-27 12:45:00,2025-10-27 12:02:00,10/15/2025,Sneha Reddy,-43,True,12,2025-10-27,0,0,3,144,88.5630461922597,516
UP20SU1131,2025-10-27 13:06:00,2025-10-27 15:47:00,10/15/2025,Kavya Kulkarni,161,True,13,2025-10-27,0,0,3,169,92.6036866359447,511
AP51GE9885,2025-10-27 23:03:00,2025-10-27 23:08:00,10/15/2025,Nikhil Bhatia,5,True,23,2025-10-27,0,0,5,529,-1.83602771362587,467
GJ11WO0241,2025-10-27 11:33:00,2025-10-27 11:50:00,10/15/2025,Kabir Mehta,17,False,11,2025-10-27,0,0,2,121,91.6714285714286,535
WB61ME3670,2025-10-27 14:53:00,2025-10-27 19:45:00,10/15/2025,Meera Nair,292,False,14,2025-10-27,0,0,3,196,92.063371356147,550
DL58OV2058,2025-10-27 05:37:00,2025-10-27 06:30:00,10/15/2025,Krishna Rao,53,True,5,2025-10-27,0,0,0,25,85.6884480746791,539
MH10PD8179,2025-10-27 23:56:00,2025-10-27 23:49:00,10/15/2025,Nikhil Bhatia,-7,False,23,2025-10-27,0,0,5,529,-1.83602771362587,467
TN01PF0422,2025-10-27 07:54:00,2025-10-27 07:28:00,10/15/2025,Aarav Sharma,-26,False,7,2025-10-27,0,0,1,49,90.0012195121951,470
DL10XO4253,2025-10-27 09:50:00,2025-10-27 10:39:00,10/15/2025,Rupali Sharma,49,False,9,2025-10-27,0,0,2,81,89.4622425629291,480
RJ67WI5578,2025-10-27 13:01:00,2025-10-27 13:46:00,10/15/2025,Ritika Nair,45,False,13,2025-10-27,0,0,3,169,92.6036866359447,514
TN69AG9114,2025-10-27 04:29:00,2025-10-27 05:38:00,10/15/2025,Rakesh Rao,69,False,4,2025-10-27,0,0,0,16,87.0590277777778,500
MH82JC0056,2025-10-27 03:40:00,2025-10-27 05:16:00,10/15/2025,Ritika Nair,96,True,3,2025-10-27,0,0,0,9,92.5401730531521,514
KA09LJ5143,2025-10-27 04:17:00,2025-10-27 04:56:00,10/15/2025,Neha Sharma,39,True,4,2025-10-27,0,0,0,16,87.0590277777778,536
KA14BH1780,2025-10-27 02:43:00,2025-10-27 04:44:00,10/15/2025,Vivaan Kumar,121,True,2,2025-10-27,0,0,0,4,90.0264367816092,498
DL97SL1552,2025-10-27 01:54:00,2025-10-27 02:02:00,10/15/2025,Simran Kaur,8,True,1,2025-10-27,0,0,0,1,88.9599514563107,496
UP62YC1255,2025-10-27 00:39:00,2025-10-27 02:28:00,10/15/2025,Nikhil Bhatia,109,True,0,2025-10-27,0,0,0,0,100.017878426698,467
GJ24UW6695,2025-10-27 06:30:00,2025-10-27 08:21:00,10/15/2025,Manish Iyer,111,True,6,2025-10-27,0,0,1,36,93.5439739413681,513
KA01XT5055,2025-10-27 22:23:00,2025-10-27 22:45:00,10/15/2025,Sameer Kulkarni,22,False,22,2025-10-27,0,0,5,484,27.9203640500569,482
UP38ZB0647,2025-10-27 19:46:00,2025-10-27 23:08:00,10/15/2025,Rakesh Rao,202,False,19,2025-10-27,0,0,4,361,79.3558926487748,500
RJ88BH7820,2025-10-27 07:35:00,2025-10-27 07:57:00,10/15/2025,Pranav Sethi,22,True,7,2025-10-27,0,0,1,49,90.0012195121951,508
AP37PM4101,2025-10-27 09:35:00,2025-10-27 10:05:00,10/15/2025,Siddharth Nair,30,False,9,2025-10-27,0,0,2,81,89.4622425629291,528
TN17ZL8301,2025-10-27 01:35:00,2025-10-27 02:17:00,10/15/2025,Mira Bhatia,42,False,1,2025-10-27,0,0,0,1,88.9599514563107,531
KA87XP5833,2025-10-27 20:53:00,2025-10-27 22:35:00,10/15/2025,Karan Kapoor,102,True,20,2025-10-27,0,0,5,400,64.1733333333333,523
RJ20NG7724,2025-10-27 02:53:00,2025-10-27 02:04:00,10/15/2025,Pranav Sethi,-49,False,2,2025-10-27,0,0,0,4,90.0264367816092,508
GJ48DV0791,2025-10-27 21:00:00,2025-10-27 21:56:00,10/15/2025,Rupali Sharma,56,False,21,2025-10-27,0,0,5,441,48.3002450980392,480
UP17JW2525,2025-10-27 21:23:00,2025-10-27 21:00:00,10/15/2025,Mira Bhatia,-23,True,21,2025-10-27,0,0,5,441,48.3002450980392,531
GJ51TA2941,2025-10-27 16:30:00,2025-10-27 17:23:00,10/15/2025,Meera Nair,53,True,16,2025-10-27,0,0,3,256,86.6213942307692,550
WB32KU2204,2025-10-27 18:27:00,2025-10-27 22:55:00,10/15/2025,Ankit Joshi,268,True,18,2025-10-27,0,0,4,324,86.5085784313726,546
AP24YZ8781,2025-10-27 02:21:00,2025-10-27 04:11:00,10/15/2025,Tanvi Singh,110,True,2,2025-10-27,0,0,0,4,90.0264367816092,481
TN13GF4183,2025-10-27 06:25:00,2025-10-27 12:02:00,10/15/2025,Vikram Chatterjee,337,True,6,2025-10-27,0,0,1,36,93.5439739413681,508
WB44CM1780,2025-10-27 02:11:00,2025-10-27 02:11:00,10/15/2025,Sachin Yadav,0,False,2,2025-10-27,0,0,0,4,90.0264367816092,509
MH64EV8699,2025-10-27 11:25:00,2025-10-27 11:06:00,10/15/2025,Meera Nair,-19,True,11,2025-10-27,0,0,2,121,91.6714285714286,550
AP85OH0384,2025-10-27 11:11:00,2025-10-27 12:23:00,10/15/2025,Pranav Sethi,72,True,11,2025-10-27,0,0,2,121,91.6714285714286,508
UP87EZ1846,2025-10-27 11:07:00,2025-10-27 13:18:00,10/15/2025,Nikhil Bhatia,131,False,11,2025-10-27,0,0,2,121,91.6714285714286,467
TN53FQ8538,2025-10-27 03:56:00,2025-10-27 03:57:00,10/15/2025,Karan Kapoor,1,False,3,2025-10-27,0,0,0,9,92.5401730531521,523
MH58KA1250,2025-10-27 13:10:00,2025-10-27 15:34:00,10/15/2025,Rupali Sharma,144,True,13,2025-10-27,0,0,3,169,92.6036866359447,480
MH63TL6513,2025-10-27 04:53:00,2025-10-27 06:13:00,10/15/2025,Neha Sharma,80,False,4,2025-10-27,0,0,0,16,87.0590277777778,536
GJ73XO2408,2025-10-27 22:16:00,2025-10-27 22:55:00,10/15/2025,Sneha Reddy,39,False,22,2025-10-27,0,0,5,484,27.9203640500569,516
KA88JT8832,2025-10-27 12:23:00,2025-10-27 16:30:00,10/15/2025,Anirudh Reddy,247,True,12,2025-10-27,0,0,3,144,88.5630461922597,479
RJ42JC0720,2025-10-27 07:31:00,2025-10-27 07:00:00,10/15/2025,Pooja Mehta,-31,True,7,2025-10-27,0,0,1,49,90.0012195121951,512
